Item Category,Material Category,Cost Price,Credit,Total Sale,gender,age,visit_frequency,satisfaction_rating,Combined Category,Sale Count,Sale Cluster
Bracelet,Fashion Jewellery,52.0,190.8,190.8,Female,35.0,Regular,4.4,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,14.0,53.0,53.0,Female,45.0,Regular,4.6,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,15.0,132.0,132.0,Male,45.0,Occasional,4.6,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,50.0,212.0,212.0,Female,39.0,Regular,4.3,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,53.0,150.0,150.0,Male,42.0,Occasional,4.6,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,25.0,106.0,106.0,Female,20.0,Regular,5.0,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,30.0,106.0,106.0,Others,67.0,Regular,3.8,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,40.0,169.6,169.6,Male,28.0,Regular,3.4,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,50.0,200.0,200.0,Female,61.0,Rare,4.0,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,50,30.0,30.0,Female,45.0,Occasional,4.3,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,53.0,169.6,169.6,Male,65.0,Regular,3.9,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,44.0,185.0,185.0,Female,64.0,Regular,3.6,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,45.0,100.0,100.0,Female,49.0,Rare,4.0,Bracelet - Fashion Jewellery,182,Low Selling
Bracelet,Fashion Jewellery,40.0,119.4,119.4,Male,28.0,Regular,4.2,Bracelet - Fashion Jewellery,182,Low Selling
Ring,Fashion Jewellery,20,200.0,200.0,Male,44.0,Occasional,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,70.0,70.0,Female,46.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,30.54,30.54,Female,51.0,Occasional,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,21.2,21.2,Female,21.0,Regular,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,18,79.5,79.5,Female,32.0,Occasional,4.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,80.0,80.0,Male,60.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,65.0,65.0,Female,50.0,Rare,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,55.0,55.0,Others,48.0,Rare,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,63.59,63.59,Female,25.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,37.1,37.1,Male,32.0,Occasional,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,7,76.82,76.82,Male,70.0,Regular,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,7,76.85,76.85,Male,62.0,Occasional,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,26.5,26.5,Female,53.0,Regular,4.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,79.5,79.5,Female,58.0,Regular,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,159.0,159.0,Male,33.0,Rare,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,53.0,53.0,Female,59.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,31.8,31.8,Male,41.0,Regular,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,15.9,15.9,Female,46.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,37.1,37.1,Female,58.0,Occasional,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,74.2,74.2,Others,62.0,Occasional,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,110.0,110.0,Others,21.0,Occasional,4.2,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,42.4,42.4,Male,47.0,Regular,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,49.0,49.0,Female,33.0,Regular,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,60.0,60.0,Male,27.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,50.0,50.0,Male,32.0,Rare,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,7,30.0,30.0,Male,42.0,Regular,4.2,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,79.0,79.0,Female,27.0,Regular,3.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,63.0,63.0,Female,29.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,20.0,20.0,Others,55.0,Regular,4.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,6,50.0,50.0,Others,53.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,20,74.2,74.2,Male,28.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,84.8,84.8,Female,59.0,Rare,5.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,9,53.0,53.0,Others,30.0,Regular,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,6,73.14,73.14,Male,69.0,Regular,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,42.4,42.4,Male,26.0,Regular,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,63.6,63.6,Female,60.0,Rare,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8.5,53.0,53.0,Male,37.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,53.0,53.0,Male,46.0,Occasional,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,53.0,53.0,Male,25.0,Regular,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,50.0,50.0,Others,22.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,7,85.0,85.0,Female,69.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,42.4,42.4,Female,58.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,17,90.1,90.1,Others,23.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,49.64,49.64,Male,19.0,Regular,4.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,15,95.39,95.39,Female,25.0,Regular,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,127.2,127.2,Male,63.0,Rare,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,68.9,68.9,Male,38.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,42.2,42.2,Male,65.0,Regular,5.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,127.2,127.2,Female,61.0,Occasional,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,7,123.79,123.79,Female,67.0,Rare,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,2,42.0,42.0,Male,38.0,Rare,4.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,45.0,45.0,Others,59.0,Regular,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,4,79.5,79.5,Female,25.0,Regular,4.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,37.0,37.0,Female,64.0,Occasional,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,84.0,84.0,Female,31.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,47.7,47.7,Male,69.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,15,79.0,79.0,Others,52.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,30,100.0,100.0,Female,34.0,Rare,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,60.0,60.0,Female,32.0,Occasional,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,68.9,68.9,Female,66.0,Regular,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,55.0,55.0,Female,54.0,Occasional,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,80.0,80.0,Male,51.0,Regular,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,91.04,91.04,Male,20.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,47.2,47.2,Female,19.0,Regular,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,47.9,47.9,Female,60.0,Rare,4.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,68.9,68.9,Female,39.0,Regular,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,63.6,63.6,Female,19.0,Rare,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,59.0,59.0,Male,23.0,Regular,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,25.0,25.0,Female,63.0,Regular,4.2,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,73.14,73.14,Female,64.0,Regular,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,26.5,26.5,Female,66.0,Regular,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,63.59,63.59,Male,54.0,Rare,4.2,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,42.39,42.39,Male,62.0,Regular,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,30.0,30.0,Female,30.0,Regular,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,16,50.0,50.0,Female,41.0,Rare,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,30.0,30.0,Female,33.0,Regular,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,30.0,30.0,Female,62.0,Rare,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,40.0,40.0,Male,66.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,18,115.54,115.54,Male,59.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,185.5,185.5,Others,59.0,Regular,4.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,62.54,62.54,Female,53.0,Occasional,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,45.0,45.0,Male,43.0,Regular,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,53.0,53.0,Male,47.0,Regular,3.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,4,10.0,10.0,Male,29.0,Regular,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,53.0,53.0,Male,60.0,Occasional,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,96.0,96.0,Female,20.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,106.84,106.84,Female,32.0,Regular,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,9,20.0,20.0,Others,26.0,Occasional,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5,58.0,58.0,Female,54.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,2,21.2,21.2,Female,29.0,Occasional,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,2,37.1,37.1,Male,62.0,Occasional,4.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,9,63.6,63.6,Male,63.0,Occasional,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10,105.99,105.99,Male,23.0,Regular,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,63.0,63.0,Female,60.0,Regular,3.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,42.4,42.4,Female,22.0,Occasional,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,41.34,41.34,Female,52.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12,37.1,37.1,Male,34.0,Rare,3.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,10.0,10.0,Male,52.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3,42.39,42.39,Others,45.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8,37.1,37.1,Female,66.0,Regular,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,14,63.6,63.6,Male,43.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3.0,14.9,14.9,Male,67.0,Regular,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,2.0,31.8,31.8,Male,43.0,Occasional,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8.0,79.8,79.8,Male,28.0,Occasional,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,100.0,100.0,Female,22.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,74.2,74.2,Female,64.0,Regular,4.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,100.0,100.0,Female,39.0,Regular,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,117.0,117.0,Male,26.0,Occasional,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,55.0,55.0,Male,21.0,Regular,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,40.0,79.0,79.0,Male,18.0,Rare,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,20.0,110.0,110.0,Female,40.0,Regular,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,100.0,100.0,Male,36.0,Rare,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,200.0,200.0,Female,59.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8.0,84.8,84.8,Male,35.0,Regular,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3.0,58.0,58.0,Female,68.0,Occasional,4.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,4.0,63.0,63.0,Female,48.0,Regular,4.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,4.0,53.0,53.0,Male,47.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,2.0,63.0,63.0,Female,40.0,Rare,3.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,4.0,43.0,43.0,Female,35.0,Regular,3.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,3.0,37.0,37.0,Male,66.0,Regular,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8.0,53.0,53.0,Female,22.0,Regular,4.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,100.0,100.0,Male,20.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,74.2,74.2,Female,37.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,100.0,100.0,Male,27.0,Regular,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,117.0,117.0,Male,34.0,Occasional,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,55.0,55.0,Male,69.0,Occasional,3.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8.0,58.3,58.3,Female,48.0,Occasional,4.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,40.0,40.0,Male,45.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,20.0,75.0,75.0,Female,60.0,Regular,4.2,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5.0,79.5,79.5,Female,33.0,Regular,3.5,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,4.0,53.0,53.0,Male,45.0,Regular,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,40.0,40.0,Male,21.0,Occasional,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,40.0,40.0,Male,64.0,Occasional,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,5.0,50.0,50.0,Male,40.0,Regular,3.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,100.0,100.0,Male,27.0,Occasional,4.1,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,8.0,53.0,53.0,Female,70.0,Occasional,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,300.0,300.0,Female,56.0,Occasional,4.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,53.0,53.0,Male,49.0,Regular,3.3,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,100.0,100.0,Female,51.0,Regular,5.0,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,80.0,80.0,Male,57.0,Regular,3.8,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,40.0,79.0,79.0,Female,48.0,Regular,3.9,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,20.0,110.0,110.0,Female,29.0,Regular,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,12.0,100.0,100.0,Male,66.0,Rare,4.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,50,200.0,200.0,Female,67.0,Rare,3.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,18.0,106.0,106.0,Female,58.0,Regular,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,70.0,200.0,200.0,Male,61.0,Regular,4.4,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,2.0,37.8,37.8,Female,23.0,Occasional,3.6,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,85.0,85.0,Male,59.0,Rare,4.7,Ring - Fashion Jewellery,149,Low Selling
Ring,Fashion Jewellery,10.0,68.9,68.9,Female,47.0,Regular,3.4,Ring - Fashion Jewellery,149,Low Selling
Custom items,Fashion Jewellery,162,344.5,344.5,Female,33.0,Occasional,4.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,20,79.0,79.0,Female,62.0,Regular,4.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,92.0,92.0,Male,54.0,Regular,4.4,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,74,180.2,180.2,Male,37.0,Regular,3.3,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,126,284.08,284.08,Male,51.0,Occasional,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,110,190.8,190.8,Female,53.0,Regular,4.1,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,216,388.0,388.0,Others,38.0,Regular,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,74,90.0,90.0,Male,23.0,Regular,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,162,300.0,300.0,Others,40.0,Regular,3.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,90.0,90.0,Male,48.0,Occasional,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,30,42.0,42.0,Male,54.0,Regular,4.2,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,134,232.0,232.0,Female,66.0,Regular,3.6,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,42.0,42.0,Female,22.0,Regular,4.4,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,148,280.0,280.0,Male,22.0,Regular,4.5,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,135,240.0,240.0,Male,33.0,Rare,4.6,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,300.0,300.0,Male,44.0,Regular,4.0,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,108,190.8,190.8,Female,37.0,Regular,3.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,65,143.0,143.0,Male,20.0,Occasional,3.6,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,115.54,115.54,Male,34.0,Regular,4.4,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,5,50.0,50.0,Female,32.0,Regular,4.6,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,108,239.56,239.56,Male,43.0,Regular,3.5,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,100.0,100.0,Female,52.0,Regular,3.5,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,112.0,112.0,Female,49.0,Regular,4.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,122.0,122.0,Others,61.0,Regular,4.4,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,100.0,100.0,Others,46.0,Regular,3.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,54,53.0,53.0,Male,44.0,Rare,4.0,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,0,53.0,53.0,Female,23.0,Occasional,4.1,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,5,35.0,35.0,Female,28.0,Regular,4.0,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,75,80.4,80.4,Male,35.0,Regular,5.0,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,150.0,150.0,Male,27.0,Regular,4.3,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,68.0,68.0,Others,47.0,Rare,4.1,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,85,233.2,233.2,Male,63.0,Regular,4.5,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,65,159.0,159.0,Male,51.0,Occasional,3.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,108,100.0,100.0,Male,61.0,Regular,4.6,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,100.0,100.0,Others,63.0,Regular,4.2,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,234,250.0,250.0,Female,35.0,Occasional,4.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,10.0,10.0,Others,33.0,Rare,4.3,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,20.0,20.0,Female,25.0,Regular,3.6,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,205.8,205.8,Male,19.0,Regular,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,65,120.0,120.0,Female,40.0,Regular,5.0,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,112.0,112.0,Male,25.0,Rare,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,120.0,120.0,Female,58.0,Regular,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,74,150.0,150.0,Others,33.0,Regular,4.4,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,30.0,30.0,Others,53.0,Regular,4.4,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,10.0,10.0,Female,19.0,Regular,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,44,180.0,180.0,Male,52.0,Occasional,3.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,312,683.0,683.0,Female,57.0,Regular,4.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,132,124.0,124.0,Male,42.0,Regular,3.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,168,345.0,345.0,Male,31.0,Regular,4.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,30.0,30.0,Male,27.0,Occasional,4.3,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,10.6,10.6,Female,41.0,Occasional,4.3,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,42.39,42.39,Others,35.0,Regular,4.2,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,15.0,15.0,Female,36.0,Occasional,4.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,30.0,30.0,Male,30.0,Regular,4.1,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,40.0,40.0,Others,35.0,Occasional,3.7,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,15.0,15.0,Male,46.0,Regular,4.5,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,15.0,15.0,Male,31.0,Regular,4.9,Custom items - Fashion Jewellery,1502,Most Selling
Custom items,Fashion Jewellery,50,15.0,15.0,Female,23.0,Occasional,5.0,Custom items - Fashion Jewellery,1502,Most Selling
